method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
RTBP,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,6.574405780699625,6.985935097075041,-0.03489099290790466,6.438514866980293,2.1234379442897158,2.713185278085514,-0.034890992907904685,-0.017883388319226114,0.5373475233797479,0.35,0,9.876383438629642,9.668975902871743
RTBP,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,3.301977657930017,3.5033473962654362,-0.0334504560324069,-3.2304610358914485,1.0620308315954423,1.3578769047289292,-0.033450456032406914,-0.01642575042222455,0.524360396189106,0.375,0,9.876383438629642,9.668975902871743
RTBP,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,0.033283737004908415,0.04183086771663467,-0.02436467824383788,-0.007469068267535063,0.032409955355884965,0.041169263822414946,-0.024364678243837867,-0.004563372336688625,0.18924072730964941,0.4,0,9.876383438629642,9.668975902871743
RTBP,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,9.876383438629642,10.488917413673065,-0.03441861212830943,9.668975902871743,3.1770895627041655,4.067669007803241,-0.03441861212830943,-0.01764781584542907,0.5331534346940029,0.2894736842105263,1,9.876383438629642,9.668975902871743
RTBP,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,6.528734709797274,6.869641292192464,-0.011999607626887086,6.384290527630418,1.9815003861448506,2.536815725385652,-0.011999607626887126,-0.0022948279750145393,0.3893374510380967,0.45,0,9.808534973341065,9.588437657850934
RTBP,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,3.279800263543789,3.4474609124830096,-0.010964211999404845,-3.2041471302205133,0.9943026282447249,1.2731593921826798,-0.01096421199940488,-0.0012101878631341216,0.3813719719859482,0.425,0,9.808534973341065,9.588437657850934
RTBP,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,0.032357971232259405,0.04141686411554166,-0.028439914331251988,-0.008001244270202478,0.031618881128668536,0.04064292639146407,-0.028439914331251957,-0.0029797661457259964,0.11121180861272753,0.5,0,9.808534973341065,9.588437657850934
RTBP,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,9.808534973341065,10.316743592313367,-0.011654714303728306,9.588437657850934,2.9695746539204815,3.8077426227421607,-0.011654714303728341,-0.0025592556813225855,0.38678182153871454,0.42105263157894735,1,9.808534973341065,9.588437657850934
RTBP,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,6.528734709797274,6.869641292192464,-0.011999607626887086,6.384290527630418,1.9815003861448506,2.536815725385652,-0.011999607626887126,-0.0022948279750145393,0.3893374510380967,0.45,0,9.808534973341065,9.588437657850934
RTBP,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,3.279800263543789,3.4474609124830096,-0.010964211999404845,-3.2041471302205133,0.9943026282447249,1.2731593921826798,-0.01096421199940488,-0.0012101878631341216,0.3813719719859482,0.425,0,9.808534973341065,9.588437657850934
RTBP,calibrated,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,0.032357971232259405,0.04141686411554166,-0.028439914331251988,-0.008001244270202478,0.031618881128668536,0.04064292639146407,-0.028439914331251957,-0.0029797661457259964,0.11121180861272753,0.5,0,9.808534973341065,9.588437657850934
RTBP,calibrated,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",41,9.808534973341065,10.316743592313367,-0.011654714303728306,9.588437657850934,2.9695746539204815,3.8077426227421607,-0.011654714303728341,-0.0025592556813225855,0.38678182153871454,0.42105263157894735,1,9.808534973341065,9.588437657850934
SinBP_D,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,6.404698461998156,6.811137438527182,-0.20131271027565392,6.20813510617832,2.1100294824159342,2.804774617898225,-0.20131271027565395,-0.0978941586284793,0.5135377670381163,0.28205128205128205,0,9.6297147863405,9.3320465624195
SinBP_D,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,3.225016324342346,3.4223530375355944,-0.1973718383731827,-3.1239114562411805,1.042348268996998,1.4000579660121364,-0.19737183837318267,-0.09276265010010394,0.5016112156967122,0.38461538461538464,0,9.6297147863405,9.3320465624195
SinBP_D,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,0.03343230471203924,0.042575756908853915,-0.06791282569856616,-0.013229268768015601,0.0319972620359195,0.04053725335565388,-0.06791282569856613,-0.00873085383062642,0.18758882573933416,0.4358974358974359,0,9.6297147863405,9.3320465624195
SinBP_D,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,9.6297147863405,10.233119447289942,-0.20005000344025559,9.3320465624195,3.1509861437324505,4.202381775535127,-0.20005000344025542,-0.09682635153278771,0.5096946573665013,0.3684210526315789,1,9.6297147863405,9.3320465624195
SinBP_D,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,6.3258038326647394,6.660648680615897,-0.1271461892132221,6.149125666751935,1.9389105546003964,2.5654217833517845,-0.12714618921322207,-0.04349503625627371,0.3663071551395942,0.28205128205128205,0,9.512422675787196,9.244286983019725
SinBP_D,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,3.186618843122456,3.349691624440131,-0.12242481820797388,-3.0951613162677885,0.9645381612464508,1.2848007379616289,-0.12242481820797389,-0.040489750278511594,0.3594117003403632,0.38461538461538464,0,9.512422675787196,9.244286983019725
SinBP_D,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,0.03304133190327896,0.04232870075897852,-0.13343154070611948,-0.013732321927880875,0.03135799099828738,0.040213507350639596,-0.13343154070611957,-0.013232844366734343,0.10342925260650745,0.5384615384615384,0,9.512422675787196,9.244286983019725
SinBP_D,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,9.512422675787196,10.009975048487025,-0.12559439499976827,9.244286983019725,2.8974240798794417,3.847018479398456,-0.1255943949997682,-0.04283341083443485,0.36410484517250136,0.3684210526315789,1,9.512422675787196,9.244286983019725
SinBP_D,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,6.3258038326647394,6.660648680615897,-0.1271461892132221,6.149125666751935,1.9389105546003964,2.5654217833517845,-0.12714618921322207,-0.04349503625627371,0.3663071551395942,0.28205128205128205,0,9.512422675787196,9.244286983019725
SinBP_D,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,3.186618843122456,3.349691624440131,-0.12242481820797388,-3.0951613162677885,0.9645381612464508,1.2848007379616289,-0.12242481820797389,-0.040489750278511594,0.3594117003403632,0.38461538461538464,0,9.512422675787196,9.244286983019725
SinBP_D,calibrated,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,0.03304133190327896,0.04232870075897852,-0.13343154070611948,-0.013732321927880875,0.03135799099828738,0.040213507350639596,-0.13343154070611957,-0.013232844366734343,0.10342925260650745,0.5384615384615384,0,9.512422675787196,9.244286983019725
SinBP_D,calibrated,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",40,9.512422675787196,10.009975048487025,-0.12559439499976827,9.244286983019725,2.8974240798794417,3.847018479398456,-0.1255943949997682,-0.04283341083443485,0.36410484517250136,0.3684210526315789,1,9.512422675787196,9.244286983019725
SinBP_D_EOnly,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,6.209773945914125,6.724727435292556,-0.18310955202380566,5.973559141722013,2.2121331982125314,3.0908196097421867,-0.18310955202380574,-0.11762152729607224,0.6892463427965898,0.32432432432432434,0,9.33761936857041,8.980615708931577
SinBP_D_EOnly,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",38,3.1278454226562835,3.3772291530048086,-0.1809934258234844,-3.0070565672095615,1.094092704193809,1.5393436725503282,-0.1809934258234844,-0.11173364758236617,0.6713062975046351,0.3783783783783784,0,9.33761936857041,8.980615708931577
