method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
RTBP,M1,A,dynamic,41,-1.6112227294840866,-1.6135254600840647,0.0176336397503948,0.06519728334772108,0.06519728334772112,0.5540334381152453,0.0003570092607774872,0.004985075066422788,0.4,0.0
RTBP,M1,HR,dynamic,41,-36.94356020529048,-36.91810995697929,1.2300983075849232,-0.1788582127855453,-0.17885821278554537,0.7224511548166344,-0.06240253357631866,0.34775193829471185,0.42105263157894735,0.02170060200566565
RTBP,M1,P2V_relTTP,dynamic,41,7.652336037144706,7.487137435480056,1.371904319500609,0.09165090059689361,0.09165090059689361,0.7745173279139842,0.03781018886517147,0.3878408606202296,0.5526315789473685,0.0
RTBP,M1,V2P_relTTP,dynamic,41,2.371652743933111,2.3995235970608553,0.20000793192776786,0.14107751784940084,0.14107751784940092,-0.37549851247611715,0.007559293078307998,0.056542754000493786,0.6578947368421053,0.0
RTBP,M1,intercept,baseline,41,58.90644339888557,58.90644339888557,0.0,,,,0.0,0.0,,0.0
SinBP_D,M2,A,dynamic,40,-0.8724677689550612,-0.8724677689550612,3.3306690738754696e-16,,,,0.0,0.0,,0.0
SinBP_D,M2,E,dynamic,40,-8.852529932399912,-8.901425792732681,0.5179556216813902,-0.009685567151417093,-0.009685567151417118,0.014290320679601735,-0.0001052511960623075,0.14924488357360804,0.5,1.5708202502302076e-05
SinBP_D,M2,HR,dynamic,40,-37.11410305586039,-37.12930196708395,1.2459398314282069,-0.17031894371881107,-0.17031894371881107,0.6620553962921815,-0.06018564423963552,0.3590078711330349,0.42105263157894735,0.021607120011241755
SinBP_D,M2,P2V_relTTP,dynamic,40,7.573070466212823,7.381085946367593,1.3951632769121478,-0.08277280284400163,-0.08277280284400164,0.6914777660574647,-0.0277655117070743,0.4020054462446008,0.4473684210526316,0.011161886924012092
SinBP_D,M2,Stiffness,dynamic,40,8.517903189016144,8.56496523735307,0.4983714850492756,0.009682435048276506,0.00968243504827648,-0.014324513012913563,0.0001004196782205152,0.14360186693434177,0.5,0.0
SinBP_D,M2,V2P_relTTP,dynamic,40,2.348059746739098,2.379433375399663,0.19623934911252652,-0.13243212209833627,-0.13243212209833616,-0.10685323642818735,-0.00827295625299979,0.05654484203836941,0.5,0.00046779300451621356
SinBP_D,M2,intercept,baseline,40,58.58988517859179,58.5898851785918,4.263256414560601e-14,2.0473736249516067e-16,,,0.0,0.0,,0.0
SinBP_D_EOnly,SinBP_D_EOnly,A,dynamic,38,2.3821507628029974,2.3821507628029983,8.881784197001252e-16,1.0593698543809128e-16,,,0.0,0.0,,0.0
SinBP_D_EOnly,SinBP_D_EOnly,E,dynamic,38,3.9198315690551415,3.947064802475484,0.23215015163474334,0.0022391585394077483,0.0022391585394077504,-0.11679631654598822,-0.0006877734151386291,0.06576275203638055,0.4722222222222222,4.522987255697628e-05
SinBP_D_EOnly,SinBP_D_EOnly,HR,dynamic,38,-26.885669888307035,-26.793788047164234,0.9190341583038625,-0.18879389105092123,-0.18879389105092123,0.36734071588028033,-0.051381912246185865,0.2603410553036894,0.3888888888888889,0.01337682125769359
SinBP_D_EOnly,SinBP_D_EOnly,P2V_relTTP,dynamic,38,13.113590042557728,12.8697667111209,2.464082007746997,-0.08778941404020515,-0.0877894140402052,0.8853012063931822,-0.05309447408628645,0.698017265686425,0.4722222222222222,0.03706085962476842
SinBP_D_EOnly,SinBP_D_EOnly,V2P_relTTP,dynamic,38,4.424988196941393,4.479308292689605,0.37755072718249855,-0.1347265856828146,-0.13472658568281448,-0.2101685297410778,-0.015901164461586334,0.10695136177176619,0.5,0.0017006511929234718
SinBP_D_EOnly,SinBP_D_EOnly,intercept,baseline,38,32.93944627909188,32.93944627909187,7.105427357601002e-15,-1.0593698543809128e-16,,,0.0,0.0,,0.0
SinBP_D_E2,SinBP_D_E2,A,dynamic,38,1.2664467289387902,1.2664467289387904,1.1102230246251565e-15,1.0593698543809128e-16,,,0.0,0.0,,0.0
SinBP_D_E2,SinBP_D_E2,E,dynamic,38,-34.86474500296318,-35.10696962973081,2.0648478631176355,-0.002239158539408131,-0.002239158539408145,-0.11030390444138281,0.0061173660949936735,0.5849234948108173,0.5277777777777778,0.0
SinBP_D_E2,SinBP_D_E2,E2,dynamic,38,24.278882137763244,24.53148184005393,2.7876990482217257,0.0018769145140061776,0.0018769145140061993,0.11916533800031208,-0.006264415734044555,0.7896904652842919,0.4722222222222222,0.0049469493757518836
SinBP_D_E2,SinBP_D_E2,HR,dynamic,38,-24.758721558071528,-24.67410856793409,0.8463285803303726,-0.18879389105092192,-0.18879389105092187,0.4842689052357577,-0.047317045240440905,0.23974525184517997,0.3888888888888889,0.01134403692773928
SinBP_D_E2,SinBP_D_E2,P2V_relTTP,dynamic,38,12.09788663424662,11.872948458435557,2.273228360080385,-0.08778941404020531,-0.08778941404020527,0.7881094651127037,-0.048982080903572055,0.6439528551385243,0.4722222222222222,0.031542150848481415
SinBP_D_E2,SinBP_D_E2,V2P_relTTP,dynamic,38,4.521801265159475,4.577309814955748,0.385811053013824,-0.13472658568281454,-0.13472658568281454,-0.17933111994251938,-0.01624906155221145,0.10929132043886132,0.5,0.0017758813929335227
SinBP_D_E2,SinBP_D_E2,intercept,baseline,38,47.51302270936907,47.513022709369054,2.1316282072803006e-14,-1.0593698543809128e-16,,,0.0,0.0,,0.0
SinBP_D_LocalA,SinBP_D_LocalA,A_local,dynamic,38,-18.304699984742694,-18.304699984742697,1.0658141036401503e-14,-1.0593698543809128e-16,,,0.0,0.0,,0.0
SinBP_D_LocalA,SinBP_D_LocalA,E,dynamic,38,-45.20611573646972,-45.52018757353467,2.6773106033147442,-0.002239158539407576,-0.002239158539407557,0.06880610825871863,0.007931862391913808,0.7584199798722417,0.5277777777777778,0.0
SinBP_D_LocalA,SinBP_D_LocalA,HR,dynamic,38,-25.327020291356966,-25.240465138939392,0.8657547635045286,-0.1887938910509208,-0.18879389105092076,0.38441151213131447,-0.04840313592609596,0.24524823884777017,0.3888888888888889,0.011870783840584266
SinBP_D_LocalA,SinBP_D_LocalA,P2V_relTTP,dynamic,38,12.950190989162262,12.709405765629004,2.4333788466562503,-0.08778941404020507,-0.08778941404020506,0.8691792893909429,-0.05243290187165448,0.6893197724678092,0.4722222222222222,0.036143035987995835
SinBP_D_LocalA,SinBP_D_LocalA,Stiffness,dynamic,38,51.274854429616205,51.63120485845002,3.036684742328882,0.002239229129514933,0.0022392291295149666,-0.06882788590043555,-0.009000191159544637,0.8602223359157498,0.4722222222222222,0.007742165462951769
SinBP_D_LocalA,SinBP_D_LocalA,V2P_relTTP,dynamic,38,5.137059148799932,5.200120457080915,0.43830634815015496,-0.13472658568281431,-0.13472658568281434,-0.1856616749035112,-0.018459986499043332,0.12416201965149315,0.5,0.0022920292064605163
SinBP_D_LocalA,SinBP_D_LocalA,intercept,baseline,38,49.3785126805344,49.3785126805344,7.105427357601002e-15,,,,0.0,0.0,,0.0
SinBP_M,M3,A,dynamic,42,11.622367255537192,11.680615003226151,0.32932822978534737,0.12298831757114105,0.122988317571141,0.41443376295323214,0.010684218430544788,0.09379190779128017,0.6153846153846154,0.0
SinBP_M,M3,HR,dynamic,42,-31.493549003318023,-31.566884627173714,1.0418133870220316,-0.16060512328895016,-0.16060512328895013,0.8323475347849719,-0.04649928328023831,0.2967060102772859,0.41025641025641024,0.013796616822832815
SinBP_M,M3,Mean,dynamic,42,8.155209338200693,8.037476748216518,0.7465422395968483,0.11183808943137216,0.11183808943137216,0.4203649221421886,0.025382440683220056,0.21261347970139524,0.5897435897435898,0.0
SinBP_M,M3,cosPhi,dynamic,42,-1.3612425246220898,-1.4230654645812428,0.6649789015037539,-0.16143062048189513,-0.16143062048189516,0.378532429527245,-0.029623929608267884,0.18938443222325257,0.5384615384615384,0.005610311089083414
