経過時間_秒, Green, SinWave
0.037, 3.72, 9.20
0.058, 2.55, 8.88
0.083, 0.96, 8.39
0.105, 0.49, 7.90
0.136, 0.92, 7.12
0.170, 1.49, 6.18
0.205, 1.93, 5.17
0.237, 2.04, 4.23
0.261, 1.83, 3.55
0.301, 1.36, 2.50
0.335, 1.32, 5.76
0.373, 1.60, 5.10
0.404, 1.74, 4.30
0.442, 1.78, 3.37
0.472, 1.83, 2.68
0.497, 1.67, 2.16
0.532, 1.83, 1.27
0.565, 1.62, 0.62
0.598, 1.42, 0.49
0.634, 1.25, 0.97
0.667, 1.11, 1.91
0.700, 0.67, 3.23
0.734, 0.36, 4.83
0.763, 0.43, 6.23
0.805, 0.92, 8.05
0.830, 1.75, 8.71
0.865, 2.97, 9.23
0.906, 4.35, 9.64
0.929, 5.88, 9.78
0.967, 7.23, 9.84
0.999, 8.64, 9.73
1.033, 9.76, 9.46
1.071, 9.82, 8.98
1.097, 9.65, 8.56
1.130, 9.28, 7.92
1.173, 8.77, 9.51
1.204, 8.13, 9.67
1.232, 7.37, 9.52
1.261, 6.53, 9.30
1.301, 5.60, 8.91
1.341, 4.67, 8.43
1.373, 3.31, 7.98
1.404, 1.76, 7.51
1.431, 1.58, 7.06
1.473, 1.53, 6.33
1.507, 1.44, 5.71
1.540, 1.33, 5.09
1.575, 0.89, 4.44
1.601, 0.45, 3.96
1.640, 0.39, 3.27
1.672, 0.81, 2.74
1.699, 1.73, 2.31
1.743, 3.11, 1.61
1.774, 4.86, 0.32
1.805, 6.82, 1.12
1.842, 8.30, 4.26
1.869, 8.90, 7.00
1.903, 9.40, 8.65
1.936, 9.75, 9.02
1.977, 9.82, 9.39
2.003, 9.58, 9.57
2.039, 9.19, 9.74
2.078, 8.62, -3.10
2.107, 7.99, 3.64
2.143, 7.30, 2.67
2.174, 6.53, 1.93
2.205, 5.78, 1.11
2.239, 4.84, 0.52
2.264, 3.60, 0.38
2.301, 1.67, 0.65
2.345, 1.33, 1.67
2.371, 1.27, 2.56
2.407, 1.22, 4.03
2.442, 1.13, 5.59
2.473, 0.75, 6.92
2.498, 0.42, 7.89
2.554, 0.54, 9.17
2.570, 1.23, 9.40
2.616, 2.56, 9.79
2.649, 4.59, 9.82
2.668, 6.59, 9.75
2.703, 7.43, 9.45
2.737, 8.35, 8.95
2.771, 9.04, 8.28
2.800, 9.43, 7.58
2.846, 9.75, 6.33
2.870, 9.90, 5.62
2.904, 9.87, 4.61
2.938, 9.70, 3.62
2.971, 9.43, 26.77
3.004, 9.05, 6.94
3.036, 8.54, 6.13
3.076, 7.92, 5.09
3.115, 7.19, 4.07
3.139, 6.30, 3.47
3.181, 5.10, 2.48
3.208, 3.34, 1.92
3.237, 1.34, 1.18
3.284, 1.15, 0.42
3.310, 0.99, 0.38
3.343, 0.69, 0.73
3.373, 0.34, 1.41
3.407, 0.36, 2.52
3.444, 0.80, 4.02
3.474, 1.73, 5.34
3.514, 3.11, 7.07
3.543, 4.89, 8.16
3.569, 6.97, 8.78
3.613, 8.12, 9.41
3.638, 8.88, 9.66
3.673, 9.55, 9.86
3.701, 9.83, 9.90
3.732, 9.84, 9.81
3.783, 9.57, 9.36
3.817, 9.15, 8.87
3.852, 8.66, 8.76
3.876, 8.12, 7.33
3.906, 7.60, 6.54
3.945, 7.07, 5.44
3.967, 6.52, 4.81
4.005, 5.89, 3.74
4.043, 4.96, 2.73
4.074, 3.64, 2.01
4.109, 1.26, 1.20
4.140, 1.34, 0.64
4.169, 1.10, 0.37
4.206, 1.09, 0.39
4.249, 0.97, 0.92
4.282, 0.52, 1.65
4.312, 0.37, 2.53
4.336, 0.74, 3.34
4.373, 1.67, 4.70
4.408, 3.33, 6.02
4.445, 5.67, 7.34
4.475, 6.90, 8.27
4.503, 7.78, 8.85
4.539, 8.52, 9.39
4.574, 9.00, 9.72
4.599, 9.39, 9.83
4.635, 9.72, 9.79
4.682, 9.78, 9.41
4.704, 9.64, 9.10
4.732, 9.33, 8.63
4.774, 8.90, 2.72
4.812, 8.39, 1.66
4.854, 7.78, 0.73
4.874, 7.18, 0.48
4.903, 6.57, 0.37
4.939, 5.77, 0.64
4.973, 4.60, 1.28
5.010, 2.97, 2.35
5.049, 1.32, 3.77
5.082, 1.42, 5.09
5.112, 1.41, 6.30
5.139, 1.21, 7.32
5.183, 0.71, 8.64
5.207, 0.39, 9.09
5.246, 0.54, 9.59
5.279, 1.22, 9.78
5.307, 2.51, 9.77
5.352, 4.33, 9.40
5.386, 6.52, 8.86
5.409, 7.41, 8.38
5.449, 8.29, 7.37
5.474, 8.87, 6.65
5.507, 9.30, 5.63
5.546, 9.69, 4.41
5.572, 9.81, 3.61
5.607, 9.64, 2.58
5.644, 9.25, 1.68
5.678, 8.71, 8.05
5.717, 8.08, 7.80
5.739, 7.41, 7.32
5.772, 6.73, 6.55
5.817, 6.10, 5.42
5.849, 5.34, 4.60
5.877, 4.30, 3.90
5.904, 2.84, 3.25
5.947, 0.95, 2.29
5.983, 1.01, 1.54
6.017, 0.97, 0.81
6.041, 0.59, 0.50
6.072, 0.31, 0.37
6.117, 0.42, 0.72
6.151, 0.98, 1.39
6.188, 1.98, 2.44
6.212, 3.51, 3.26
6.241, 5.59, 4.35
6.279, 7.54, 5.83
6.321, 8.40, 7.37
6.353, 9.11, 8.37
6.379, 9.54, 8.83
6.420, 9.81, 9.38
6.449, 9.81, 9.64
6.484, 9.62, 9.79
6.519, 9.27, 8.18
6.537, 8.79, 7.67
6.584, 8.20, 6.46
6.620, 7.52, 5.46
6.653, 6.80, 4.53
6.680, 6.02, 3.78
6.717, 5.04, 2.80
6.750, 3.66, 2.03
6.777, 1.58, 1.39
6.818, 1.34, 0.58
6.851, 1.27, 0.32
6.884, 1.24, 0.43
6.904, 1.18, 0.68
6.942, 0.79, 1.50
6.985, 0.42, 2.86
7.009, 0.43, 3.76
7.050, 0.91, 5.41
7.079, 1.96, 6.56
7.123, 3.49, 8.11
7.153, 5.52, 8.79
7.184, 7.52, 9.27
7.217, 8.55, 9.62
7.249, 9.15, 9.80
7.283, 9.61, 9.79
7.310, 9.85, 9.65
7.346, 9.86, 9.27
7.383, 9.62, 8.69
7.420, 9.29, 7.92
7.458, 8.78, 5.07
7.480, 8.15, 4.54
7.518, 7.42, 3.45
7.548, 6.56, 2.65
7.585, 5.70, 1.79
7.622, 4.62, 0.92
7.654, 3.22, 0.51
7.689, 1.47, 0.45
7.718, 1.30, 0.73
7.752, 1.28, 1.39
7.788, 1.23, 2.44
7.821, 1.06, 3.63
7.856, 0.80, 5.03
7.888, 0.40, 6.31
7.914, 0.25, 7.30
7.955, 0.47, 8.58
7.986, 1.15, 9.15
8.020, 2.28, 9.59
8.050, 3.73, 9.81
8.085, 5.62, 9.86
8.123, 7.83, 9.66
8.158, 8.72, 9.25
8.185, 9.34, 8.80
8.221, 9.77, 8.03
8.255, 9.85, 7.17
8.290, 9.71, 6.16
8.324, 9.42, 5.19
8.349, 9.04, 6.33
8.390, 8.62, 5.40
8.421, 8.12, 4.53
8.458, 7.59, 3.51
8.482, 6.93, 2.89
8.517, 6.19, 2.06
8.549, 5.05, 1.30
8.586, 3.27, 0.54
8.615, 1.67, 0.27
8.650, 1.54, 0.35
