method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,2.263133218813154,2.9036355861729293,-0.09248336826718474,0.43146463234703625,3.393422172404367,0.644962129803581
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.1304175752422223,1.450566533018547,-0.09071792212067466,-0.2134974974565448,3.393422172404367,0.644962129803581
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,2.256378637299089,2.904840042778981,-0.150705721763268,0.4384931403552266,3.383570993236457,0.6554434124662689
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.1280237786052354,1.45132304482441,-0.14772907490182857,-0.21695027211104229,3.383570993236457,0.6554434124662689
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,2.256378637299089,2.904840042778981,-0.150705721763268,0.4384931403552266,3.383570993236457,0.6554434124662689
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.1280237786052354,1.45132304482441,-0.14772907490182857,-0.21695027211104229,3.383570993236457,0.6554434124662689
SinBP_D_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,2.3783072259663594,3.0310819347657993,-0.02619295614162763,0.5206230360482027,3.570402854451254,0.7768484448522288
SinBP_D_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,1.1921701365259458,1.5163031356569918,-0.03187602237448961,-0.2562254088040261,3.570402854451254,0.7768484448522288
SinBP_D_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,2.384117237883612,3.0418052129361564,-0.08845882811370882,0.5306928390361638,3.5781932809065755,0.7920708386427243
SinBP_D_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,1.1942275279997556,1.5222720906027505,-0.09740933263698355,-0.26137799960656055,3.5781932809065755,0.7920708386427243
SinBP_D_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,2.384117237883612,3.0418052129361564,-0.08845882811370882,0.5306928390361638,3.5781932809065755,0.7920708386427243
SinBP_D_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,1.1942275279997556,1.5222720906027505,-0.09740933263698355,-0.26137799960656055,3.5781932809065755,0.7920708386427243
SinBP_M_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",108,2.2490529871106637,2.8822372183732154,-0.02583642125588356,0.7700540656956484,3.3692027613554867,1.1536453665749418
SinBP_M_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",108,1.1206898862591101,1.4410094621195828,-0.026546868627537447,-0.3835913008792935,3.3692027613554867,1.1536453665749418
SinBP_M_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",108,2.245556823917437,2.8848657239765734,-0.09284225679179058,0.7780804157151424,3.363750222830328,1.1660524853615786
SinBP_M_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",108,1.1199640439753138,1.4434146519818771,-0.09759411931337238,-0.38797206964643616,3.363750222830328,1.1660524853615786
SinBP_M_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",108,2.245556823917437,2.8848657239765734,-0.09284225679179058,0.7780804157151424,3.363750222830328,1.1660524853615786
SinBP_M_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",108,1.1199640439753138,1.4434146519818771,-0.09759411931337238,-0.38797206964643616,3.363750222830328,1.1660524853615786
RTBP_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,2.274032546240798,2.8762980927579,-0.09248336826718478,-0.1677880510622922,3.4074589537872466,-0.25728876516056004
RTBP_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.134641656865568,1.4375578120956876,-0.09071792212067405,0.08950071409826783,3.4074589537872466,-0.25728876516056004
RTBP_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,2.272774684670885,2.8760499075427353,-0.15070572176327302,-0.16075954305410134,3.4071361026809375,-0.24680748249787168
RTBP_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.1347687901361005,1.4375936170392023,-0.14772907490182227,0.08604793944377036,3.4071361026809375,-0.24680748249787168
RTBP_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,2.272774684670885,2.8760499075427353,-0.15070572176327302,-0.16075954305410134,3.4071361026809375,-0.24680748249787168
RTBP_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.1347687901361005,1.4375936170392023,-0.14772907490182227,0.08604793944377036,3.4071361026809375,-0.24680748249787168
SinBP_D_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,2.8523341052627473,3.4576562500036343,-0.026192956141627123,-1.74326630025067,4.279965243228772,-2.6165003209618236
SinBP_D_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,1.429089941888742,1.73091345653496,-0.03187602237448961,0.8732340207111535,4.279965243228772,-2.6165003209618236
SinBP_D_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,2.8431899783564543,3.46047889202709,-0.0884588281137169,-1.7331964972627052,4.265521691361889,-2.6012779271713287
SinBP_D_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,1.4238275550774098,1.7327894355927767,-0.09740933263696752,0.8680814299086229,4.265521691361889,-2.6012779271713287
SinBP_D_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,2.8431899783564543,3.46047889202709,-0.0884588281137169,-1.7331964972627052,4.265521691361889,-2.6012779271713287
SinBP_D_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,1.4238275550774098,1.7327894355927767,-0.09740933263696752,0.8680814299086229,4.265521691361889,-2.6012779271713287
