経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.027, 4.77, 776.00, 768.24, 13.13, 78.10
0.056, 3.13, 776.00, 768.24, 13.13, 78.10
0.094, 0.87, 776.00, 768.24, 13.13, 78.10
0.127, 0.45, 776.00, 768.24, 13.13, 78.10
0.161, 0.59, 776.00, 768.24, 13.13, 78.10
0.194, 1.30, 776.00, 768.24, 13.13, 78.10
0.226, 2.62, 776.00, 768.24, 13.13, 78.10
0.267, 4.41, 776.00, 768.24, 13.13, 78.10
0.298, 6.44, 776.00, 768.24, 13.13, 78.10
0.329, 7.51, 776.00, 768.24, 13.13, 78.10
0.365, 8.27, 776.00, 768.24, 13.13, 78.10
0.400, 8.81, 776.00, 768.24, 13.13, 78.10
0.433, 9.19, 776.00, 768.24, 13.13, 78.10
0.464, 9.56, 776.00, 768.24, 13.13, 78.10
0.497, 9.82, 776.00, 768.24, 13.13, 78.10
0.524, 9.88, 776.00, 768.24, 13.13, 78.10
0.559, 9.74, 797.00, 782.62, 12.44, 76.67
0.594, 9.43, 797.00, 782.62, 12.44, 76.67
0.630, 9.02, 797.00, 782.62, 12.44, 76.67
0.658, 8.54, 797.00, 782.62, 12.44, 76.67
0.699, 8.05, 797.00, 782.62, 12.44, 76.67
0.732, 7.62, 797.00, 782.62, 12.44, 76.67
0.772, 7.13, 797.00, 782.62, 12.44, 76.67
0.806, 6.40, 797.00, 782.62, 12.44, 76.67
0.838, 5.29, 797.00, 782.62, 12.44, 76.67
0.870, 3.44, 797.00, 782.62, 12.44, 76.67
0.897, 0.76, 797.00, 782.62, 12.44, 76.67
0.930, 0.39, 797.00, 782.62, 12.44, 76.67
0.962, 0.59, 797.00, 782.62, 12.44, 76.67
0.994, 1.44, 797.00, 782.62, 12.44, 76.67
1.029, 2.77, 797.00, 782.62, 12.44, 76.67
1.061, 4.33, 797.00, 782.62, 12.44, 76.67
1.095, 5.86, 797.00, 782.62, 12.44, 76.67
1.130, 7.25, 797.00, 782.62, 12.44, 76.67
1.161, 8.53, 797.00, 782.62, 12.44, 76.67
1.196, 8.96, 797.00, 782.62, 12.44, 76.67
1.220, 9.12, 797.00, 782.62, 12.44, 76.67
1.259, 9.28, 797.00, 782.62, 12.44, 76.67
1.292, 9.52, 797.00, 782.62, 12.44, 76.67
1.322, 9.75, 797.00, 782.62, 12.44, 76.67
1.360, 9.70, 819.00, 800.81, 12.40, 74.92
1.396, 9.30, 819.00, 800.81, 12.40, 74.92
1.435, 8.56, 819.00, 800.81, 12.40, 74.92
1.461, 7.55, 819.00, 800.81, 12.40, 74.92
1.496, 6.36, 819.00, 800.81, 12.40, 74.92
1.533, 5.08, 819.00, 800.81, 12.40, 74.92
1.562, 3.38, 819.00, 800.81, 12.40, 74.92
1.595, 1.93, 819.00, 800.81, 12.40, 74.92
1.630, 1.23, 819.00, 800.81, 12.40, 74.92
1.663, 0.62, 819.00, 800.81, 12.40, 74.92
1.692, 0.63, 819.00, 800.81, 12.40, 74.92
1.724, 1.26, 819.00, 800.81, 12.40, 74.92
1.759, 2.41, 819.00, 800.81, 12.40, 74.92
1.796, 3.84, 819.00, 800.81, 12.40, 74.92
1.830, 5.24, 819.00, 800.81, 12.40, 74.92
1.855, 6.40, 819.00, 800.81, 12.40, 74.92
1.895, 7.16, 819.00, 800.81, 12.40, 74.92
1.928, 7.50, 819.00, 800.81, 12.40, 74.92
1.966, 7.63, 819.00, 800.81, 12.40, 74.92
1.997, 7.85, 819.00, 800.81, 12.40, 74.92
2.030, 8.22, 819.00, 800.81, 12.40, 74.92
2.067, 7.71, 694.00, 747.41, 11.91, 80.28
2.098, 6.35, 694.00, 747.41, 11.91, 80.28
2.137, 4.61, 694.00, 747.41, 11.91, 80.28
2.169, 3.14, 694.00, 747.41, 11.91, 80.28
2.202, 2.74, 694.00, 747.41, 11.91, 80.28
2.233, 2.33, 694.00, 747.41, 11.91, 80.28
2.265, 2.07, 694.00, 747.41, 11.91, 80.28
2.296, 1.85, 694.00, 747.41, 11.91, 80.28
2.326, 1.65, 694.00, 747.41, 11.91, 80.28
2.362, 1.36, 694.00, 747.41, 11.91, 80.28
2.394, 0.85, 694.00, 747.41, 11.91, 80.28
2.431, 0.34, 694.00, 747.41, 11.91, 80.28
2.464, 0.16, 694.00, 747.41, 11.91, 80.28
2.489, 0.34, 694.00, 747.41, 11.91, 80.28
2.530, 0.83, 694.00, 747.41, 11.91, 80.28
2.567, 1.53, 694.00, 747.41, 11.91, 80.28
2.599, 2.32, 694.00, 747.41, 11.91, 80.28
2.620, 3.11, 694.00, 747.41, 11.91, 80.28
2.666, 3.77, 694.00, 747.41, 11.91, 80.28
2.698, 4.26, 694.00, 747.41, 11.91, 80.28
2.734, 4.63, 694.00, 747.41, 11.91, 80.28
2.765, 4.87, 694.00, 747.41, 11.91, 80.28
2.800, 4.86, 749.00, 748.20, 11.86, 80.19
2.834, 4.68, 749.00, 748.20, 11.86, 80.19
2.870, 4.06, 749.00, 748.20, 11.86, 80.19
2.903, 2.99, 749.00, 748.20, 11.86, 80.19
2.938, 2.56, 749.00, 748.20, 11.86, 80.19
2.971, 2.18, 749.00, 748.20, 11.86, 80.19
2.998, 2.00, 749.00, 748.20, 11.86, 80.19
3.034, 1.91, 749.00, 748.20, 11.86, 80.19
3.071, 1.69, 749.00, 748.20, 11.86, 80.19
3.101, 1.38, 749.00, 748.20, 11.86, 80.19
3.133, 0.86, 749.00, 748.20, 11.86, 80.19
3.164, 0.36, 749.00, 748.20, 11.86, 80.19
3.197, 0.18, 749.00, 748.20, 11.86, 80.19
3.238, 0.39, 749.00, 748.20, 11.86, 80.19
